type,artist,title,url,current_price,original_price,release_date
"album","HOMI","","https://patternsofperception.bandcamp.com/album/v-litila","","",""
"track","Nali","Gwen","https://patternsofperception.bandcamp.com/track/gwen","","",""
"track","Nali","Skyline","https://patternsofperception.bandcamp.com/track/skyline","","",""
"track","Human Space Machine & Sunju Hargun","Among","https://hshseries.bandcamp.com/track/among","","",""
"album","DDAT","","https://markhamroad.bandcamp.com/album/lemon-tek-mr012","","",""
"track","Various Artists","2. Archon - Pravoslav Excursions [mldva001]","https://mouldaudio.bandcamp.com/track/2-archon-pravoslav-excursions-mldva001","","",""
"track","Various Artists","Arthur Robert - Intergalactic Medium [mldva001]","https://mouldaudio.bandcamp.com/track/arthur-robert-intergalactic-medium-mldva001","","",""
"track","Various Artists","Biri - Morphing [mldva001]","https://mouldaudio.bandcamp.com/track/biri-morphing-mldva001","","",""
"track","Ruben Ganev","Ruben Ganev - Interconnection [mldcs027]","https://mouldaudio.bandcamp.com/track/ruben-ganev-interconnection-mldcs027","","",""
"track","Ruben Ganev","Ruben Ganev - Impermeable Membrane [mldcs026]","https://mouldaudio.bandcamp.com/track/ruben-ganev-impermeable-membrane-mldcs026","","",""
"track","Ruben Ganev, Sejon","Sejon - Singularities [mld012]","https://mouldaudio.bandcamp.com/track/sejon-singularities-mld012","","",""
"track","Ruben Ganev","Ruben Ganev - Kodo [mldcs022]","https://mouldaudio.bandcamp.com/track/ruben-ganev-kodo-mldcs022","","",""
"album","Andy Martin","","https://diasporaechoes.bandcamp.com/album/tierra-de-nahuales","","",""
"album","DJ Day","","https://djday.bandcamp.com/album/land-of-1000-chances-2","","",""
"album","Saïph","","https://songe-anima-records.bandcamp.com/album/non-coh-rence","","",""
"album","Raime","","https://raime.bandcamp.com/album/tooth","","",""
"track","Simone Bauer","Iperbolica","https://lowless.bandcamp.com/track/iperbolica","","",""
"album","al dente, jek + djfix","","https://aldentenaarm.bandcamp.com/album/ps-op001","","",""
"track","Rapossa","Una Luna Para Dos (Coss & Iorie crying for Shibuya Remix)","https://beatspace-sofabeats.bandcamp.com/track/una-luna-para-dos-coss-iorie-crying-for-shibuya-remix","","",""
"track","Aysun","Café del ASMR","https://w133records.bandcamp.com/track/caf-del-asmr","","",""
"track","Obseth","Obseth - Wrong Decision","https://illegalalienrecords.bandcamp.com/track/obseth-wrong-decision","","",""
"track","A.B.E.L.","A.B.E.L. - Programmed reality","https://illegalalienrecords.bandcamp.com/track/a-b-e-l-programmed-reality","","",""
"track","A.B.E.L.","A.B.E.L. - Out of body","https://illegalalienrecords.bandcamp.com/track/a-b-e-l-out-of-body","","",""
"track","Lee Holman","Lee Holman - XX 14 A2 [MOLXX14D]","https://moleculartechno.bandcamp.com/track/lee-holman-xx-14-a2-molxx14d","","",""
"track","Kassian","Metro (Extended Club Mix)","https://kassiansound.bandcamp.com/track/metro-extended-club-mix","","",""
"track","Kassian","Pulgueiro Baile (Extended Version)","https://kassiansound.bandcamp.com/track/pulgueiro-baile-extended-version","","",""
"track","Kassian","Sistema Baile","https://kassiansound.bandcamp.com/track/sistema-baile","","",""
"track","Kassian","Invision","https://kassiansound.bandcamp.com/track/invision","","",""
"track","Kassian","Mockingbirds","https://kassiansound.bandcamp.com/track/mockingbirds","","",""
"album","Redeye","","https://dbh-music.bandcamp.com/album/a6a06","","",""
"track","g-man aka gez varley","Quo Vadis original mix","https://g-man-techno.bandcamp.com/track/quo-vadis-original-mix","","",""
"track","Sleep Exchange","Drain","https://geotherapy.bandcamp.com/track/drain","","",""
"track","K.R. Woon","Teliospore","https://geotherapy.bandcamp.com/track/teliospore","","",""
"track","umki","fel wisp","https://geotherapy.bandcamp.com/track/fel-wisp","","",""
"track","CMPG","Dead Tascam","https://geotherapy.bandcamp.com/track/dead-tascam","","",""
"track","Hüda","Sense of Urgency","https://geotherapy.bandcamp.com/track/sense-of-urgency","","",""
"track","Cobber","Noir Equivalence","https://geotherapy.bandcamp.com/track/noir-equivalence","","",""
"album","Hüda","","https://huda-thunk.bandcamp.com/album/rest-up","","",""
"track","Hüda","Massive Teardrop","https://huda-thunk.bandcamp.com/track/massive-teardrop","","",""
"album","Hüda","","https://huda-thunk.bandcamp.com/album/try-harder","","",""
"album","Singular Anomalies","","https://singularanomalies.bandcamp.com/album/conscious-beings-lp","","",""
"track","Aykan","Scratch And Check","https://unfairrecords1.bandcamp.com/track/scratch-and-check","","",""
"album","Audrey Danza","","https://proxima9000.bandcamp.com/album/next-stop","","",""
"album","L.S.G.","","https://lsgfrankfurt.bandcamp.com/album/risin-remastered-2026","","",""
"track","Dino Sabatini","Perimedes","https://dinosabatini.bandcamp.com/track/perimedes","","",""
